Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",6.000000,10.100000,90.000000,top
"C2","10n","C_0402_1005Metric",13.300000,10.900000,90.000000,top
"C3","10n","C_0402_1005Metric",13.300000,4.900000,-90.000000,top
"C4","100n","C_0603_1608Metric",6.400000,1.500000,180.000000,top
"C5","33n","C_0402_1005Metric",12.300000,2.400000,0.000000,top
"C6","33n","C_0402_1005Metric",11.900000,13.500000,0.000000,top
"C7","33n","C_0402_1005Metric",16.550000,7.900000,90.000000,top
"C8","100n","C_0603_1608Metric",6.800000,3.200000,0.000000,top
"R1","120","R_0402_1005Metric",16.050000,6.400000,0.000000,top
"R2","1k","R_0402_1005Metric",16.550000,4.650000,-90.000000,top
"R3","1k","R_0402_1005Metric",15.550000,4.900000,90.000000,top
"R6","1k","R_0402_1005Metric",10.300000,3.400000,0.000000,top
"R7","1k","R_0402_1005Metric",12.300000,3.400000,0.000000,top
"R8","1.8k","R_0603_1608Metric",9.400000,13.100000,0.000000,top
"R9","1.3k","R_0402_1005Metric",11.900000,12.400000,0.000000,top
"R10","47k","R_0402_1005Metric",6.050000,5.400000,0.000000,top
"R11","47k","R_0402_1005Metric",6.050000,6.400000,0.000000,top
"R12","1k","R_0402_1005Metric",6.050000,7.900000,180.000000,top
"R13","10k","R_0402_1005Metric",13.300000,8.900000,-90.000000,top
"R14","10k","R_0402_1005Metric",13.300000,6.900000,90.000000,top
"R15","1k","R_0402_1005Metric",14.800000,8.400000,180.000000,top
"R16","1k","R_0402_1005Metric",14.800000,7.400000,180.000000,top
"R17","1k","R_0402_1005Metric",14.800000,9.400000,180.000000,top
"R18","1k","R_0402_1005Metric",14.300000,5.900000,-90.000000,top
"U1","MCP6004","TSSOP-14_4.4x5mm_P0.65mm",9.800000,7.900000,90.000000,top
